primary_key,parameter,intercept,mean_umi
\x6e702759f3be7d92511f8e94b930dfcc,sd2,0.181562336833596,0.00174128820800301
\x6e702759f3be7d92511f8e94b930dfcc,p3,0.0511100964917169,0
\x28efed4f701f707799497c3e6496504a,p1,0.0684201971916269,-1.04893415426237e-05
\x28efed4f701f707799497c3e6496504a,mean1,0.00158547845854218,1.77455327430898e-05
\x28efed4f701f707799497c3e6496504a,mean2,-0.0194583161852691,0.000561280075463725
\x28efed4f701f707799497c3e6496504a,sd1,0.00440150522150162,3.91806551083793e-05
\x28efed4f701f707799497c3e6496504a,sd2,0.128721948394208,0.00141707529015889
\x28efed4f701f707799497c3e6496504a,p3,0.0508698081283979,0
\x7682f495a43bfb66f352f6338889e9a7,p1,0.0954233038357181,-9.55596780302239e-06
\x7682f495a43bfb66f352f6338889e9a7,mean1,0.00118384174598524,2.017463401906e-05
\x7682f495a43bfb66f352f6338889e9a7,mean2,-0.00492873445071718,0.000526125490404602
\x7682f495a43bfb66f352f6338889e9a7,sd1,0.00222676255667434,4.59223138487616e-05
\x7682f495a43bfb66f352f6338889e9a7,sd2,0.0365973731968627,0.00137746201308351
\x7682f495a43bfb66f352f6338889e9a7,p3,0.0510324965031383,0
\x129328ada05534bdee4bf839920701b2,p1,0.102586805784425,-4.02673465504439e-06
\x129328ada05534bdee4bf839920701b2,mean1,0.00438670161124102,1.72370918649809e-05
\x129328ada05534bdee4bf839920701b2,mean2,0.00747788818468731,0.00055851534323952
\x129328ada05534bdee4bf839920701b2,sd1,0.0116265938502738,3.78673255126802e-05
\x129328ada05534bdee4bf839920701b2,sd2,0.31312757975673,0.00153050062206374
\x129328ada05534bdee4bf839920701b2,p3,0.051182683116945,0
\x4f476c3ac7183b0b98043b683055c0c4,p1,0.129172353951171,-7.42709098998591e-06
\x4f476c3ac7183b0b98043b683055c0c4,mean1,0.000161370872657239,1.99234245154356e-05
\x4f476c3ac7183b0b98043b683055c0c4,mean2,0.0252643180622485,0.000540579206218106
\x4f476c3ac7183b0b98043b683055c0c4,sd1,-0.00345392024217678,4.47008054049816e-05
\x4f476c3ac7183b0b98043b683055c0c4,sd2,-0.1273940118043,0.001628373599562
\x4f476c3ac7183b0b98043b683055c0c4,p3,0.0511623113615386,0
\x7436de3df251a46d3d49f27a825ccaf8,p1,0.0728124085656716,-2.49337129685724e-06
\x7436de3df251a46d3d49f27a825ccaf8,mean1,0.0200108919446325,1.43590754166695e-05
\x7436de3df251a46d3d49f27a825ccaf8,mean2,0.34866417933787,0.000422390361906728
\x7436de3df251a46d3d49f27a825ccaf8,sd1,0.0544599437329679,3.13002198102159e-05
\x7436de3df251a46d3d49f27a825ccaf8,sd2,1.05019934516405,0.000915554684854631
\x7436de3df251a46d3d49f27a825ccaf8,p3,0.0507806768464324,0
\x9285feabc8062eb090dff30987c10349,p1,0.115965139680104,-4.39223315196964e-06
\x9285feabc8062eb090dff30987c10349,mean1,0.00161893590013427,2.32902881462665e-05
\x9285feabc8062eb090dff30987c10349,mean2,0.0330739143028205,0.000472534907490223
\x9285feabc8062eb090dff30987c10349,sd1,-0.0013353916641444,5.23072243347305e-05
\x9285feabc8062eb090dff30987c10349,sd2,-0.0398879987247911,0.0011462458762386
\x9285feabc8062eb090dff30987c10349,p3,0.0508291507461727,0
\xdd16432701499b374637e8ebdceb1023,p1,0.121144041169207,-6.29409703115477e-06
\xdd16432701499b374637e8ebdceb1023,mean1,0.000511536205861793,2.14126113202258e-05
\xdd16432701499b374637e8ebdceb1023,mean2,0.0190387245915318,0.000513115531973533
\xdd16432701499b374637e8ebdceb1023,sd1,-0.00171987742699817,4.90607439948539e-05
\xdd16432701499b374637e8ebdceb1023,sd2,-0.0851977998576512,0.00149673254759446
\xdd16432701499b374637e8ebdceb1023,p3,0.0510928028096552,0
\xfdf2d1763f3fc6f07d76d1e8be32879b,p1,0.0925433403599305,-2.63304171116653e-06
\xfdf2d1763f3fc6f07d76d1e8be32879b,mean1,0.00442466444263251,1.58388891392109e-05
\xfdf2d1763f3fc6f07d76d1e8be32879b,mean2,-0.00726100570089461,0.00059193597950628
\xfdf2d1763f3fc6f07d76d1e8be32879b,sd1,0.01095031773911,3.57622365531409e-05
\xfdf2d1763f3fc6f07d76d1e8be32879b,sd2,0.226976701506949,0.00144667388432675
\xfdf2d1763f3fc6f07d76d1e8be32879b,p3,0.0511639673078007,0
\x6a37e15e21d83c28bfadb7d982877504,p1,0.093009395093948,-1.60091585728624e-05
\x6a37e15e21d83c28bfadb7d982877504,mean1,0.000586167052852197,1.58339255747002e-05
\x6a37e15e21d83c28bfadb7d982877504,mean2,-0.000603242426432726,0.000590037430902386
\x6a37e15e21d83c28bfadb7d982877504,sd1,0.00140927635773326,3.35950562356558e-05
\x6a37e15e21d83c28bfadb7d982877504,sd2,0.019481806594474,0.00123929807088452
\x6a37e15e21d83c28bfadb7d982877504,p3,0.051530681937398,0
