"run" "sample" "cell.type" "num.cells" "expressed.genes" "meanUMI" "evaluation" "estimated.counts" "dataset" "threshold" "rsq"
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000980" 1239 4445 3134.0395480226 "own_count10" 1947 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000232" 3907 6337 1388.71819810596 "own_count10" 2861 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000232" 3907 5356 1041.66751983619 "own_count10" 2168 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000232" 3907 4007 694.607627335552 "own_count10" 1373 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000232" 3907 2060 347.308676734067 "own_count10" 553 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "complete" "EFO:0011025_UBERON:0000178_CL:0000037" 270 4181 11804.6333333333 "own_count10" 1489 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled75" "EFO:0011025_UBERON:0000178_CL:0000037" 270 3279 8853.59259259259 "own_count10" 1040 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled50" "EFO:0011025_UBERON:0000178_CL:0000037" 270 2233 5902.53703703704 "own_count10" 615 "Training data set" "Training data set - Count > 10" 0.928370254361329
"Run 5" "subsampled25" "EFO:0011025_UBERON:0000178_CL:0000037" 270 1074 2951.27407407407 "own_count10" 292 "Training data set" "Training data set - Count > 10" 0.928370254361329


